,Region,Latitude,Longitude,Total yield (t/ha),Total red yield (t/ha),Total white yield (t/ha),Cabernet sauvignon yield (t/ha),Chardonnay yield (t/ha),Merlot yield (t/ha),Pinot gris yield (t/ha),Pinot noir yield (t/ha),Riesling yield (t/ha),Sauvignon blanc yield (t/ha),Shiraz yield (t/ha),Number of agricultural businesses,Source of water - groundwater (ML),Source of water - irrigation channels or irrigation pipelines (ML),Source of water - other (ML),Source of water - recycled/re-used water from off-farm sources (ML),Source of water - total volume of water used (ML),Source of water - town or country reticulated mains supply (ML),Source of source - water taken from on-farm dams or tanks (ML),"Source of water - water taken from rivers, creeks, lakes, etc. (ML)",Watering method - drip or micro spray - area irrigated (ha),Watering method - furrow or flood - area irrigated (ha),Watering method - method not reported - area irrigated (ha),Watering method - other - area irrigated (ha),Watering method - spray or sprinkler (excluding micro spray) - area irrigated (ha)
0,Adelaide Hills,-34.8,138.9,70.21000000000001,28.56,41.65,4.42,8.6,8.35,11.72,9.27,11.72,9.61,6.52,543.0,3507.81,100.22,,26.57,4724.52,9.34,936.32,144.26,2711.17,,68.98,,45.47
1,Adelaide Plains,-34.6,138.6,65.47,32.46,33.010000000000005,6.53,10.22,8.27,11.38,10.0,0.0,11.41,7.66,65.0,301.53,63.31,,59.0,547.93,9.45,8.27,106.36,491.55,,,,
2,Alpine Valleys,-36.4,146.8,58.98,25.03,33.95,2.76,11.78,8.58,11.54,10.37,3.17,7.46,3.32,60.0,19.8,,,,211.8,14.14,27.52,150.33,118.24,,,,32.7
3,Barossa - Other,-34.6,138.9,6.42,3.09,3.33,1.56,,,,,3.33,,1.53,5.0,1.0,7.0,,,10.9,2.9,,,14.5,,,,
4,Barossa Valley,-34.5,139.0,54.239999999999995,22.689999999999998,31.549999999999997,3.67,7.6,5.48,8.69,8.54,7.18,8.08,5.0,796.0,2416.12,3045.24,1926.26,261.31,9893.21,1097.72,598.76,547.8,8711.69,,8.56,1.57,31.1
5,Beechworth,-36.3,146.6,49.18,23.720000000000002,25.46,7.01,6.73,5.72,8.97,5.33,2.89,6.87,5.66,52.0,5.75,,,,97.21,,91.46,,87.0,,,,6.57
6,Bendigo,-36.7,144.1,37.419999999999995,19.02,18.4,3.36,3.41,4.39,6.39,7.18,4.2,4.4,4.09,117.0,15.16,201.86,,27.73,809.64,1.54,171.96,391.38,570.55,1.23,,,1.23
7,Big Rivers - Other,-33.9,144.6,87.0,46.08,40.92,15.44,15.95,13.02,24.39,1.64,0.58,,15.98,37.0,0.22,66.74,,,2270.51,,,2203.56,497.16,,,,21.67
8,Blackwood Valley,-34.0,116.3,25.759999999999998,13.88,11.879999999999999,3.32,4.31,4.9,,0.0,0.0,7.57,5.66,66.0,,,,,253.44,,253.44,,216.28,,,,
9,Canberra District (ACT),-35.3,149.1,31.68,14.219999999999999,17.46,0.0,0.8,0.0,15.88,13.69,0.78,0.0,0.53,11.0,12.1,,,,12.1,,,,9.3,,,,
